1969,class,1970,class,1971,class,1972,class,1973,class,1974,class,1975,class,1976,class,1977,class,1978,class,1979,class
129.171,class9,116.122,class8,145.075,class10,136.571,class9,83.293,class6,97.798,class7,143.883,class9,147.125,class16,120.151,class8,156.271,class10,115.715,class8
132.77,class9,76.271,class5,117.292,class8,139.191,class9,160.9,class11,110.578,class7,159.375,class10,108.736,class16,177.784,class12,100.626,class7,138.714,class9
63.05,class4,143.462,class9,138.45,class9,125.275,class8,118.223,class8,117.188,class8,122.883,class8,114.512,class16,151.553,class10,124.13,class8,127.167,class8
165.007,class11,108.875,class7,79.593,class5,105.929,class7,120.471,class8,118.392,class8,99.437,class7,141.47,class16,135.448,class9,99.31,class7,104.126,class7
178.946,class12,112.937,class8,82.433,class6,135.437,class9,177.734,class12,79.296,class5,108.705,class7,126.748,class16,148.404,class10,127.224,class8,103.564,class7
118.628,class8,94.461,class6,75.752,class5,123.179,class8,107.383,class7,125.988,class8,85.126,class6,100.812,class16,81.308,class6,87.04,class6,126.342,class8
108.217,class7,86.204,class6,81.394,class6,106.186,class7,132.642,class9,105.603,class7,146.347,class10,80.823,class16,137.148,class9,134.114,class9,115.692,class8
89.74,class6,128.157,class9,139.506,class9,101.985,class7,133.363,class9,146.066,class10,104.409,class7,109.535,class16,132.909,class9,95.826,class6,118.881,class8
98.429,class7,163.015,class11,82.259,class6,75.16,class5,135.975,class9,113.713,class8,144.774,class10,169.519,class16,97.918,class7,148.217,class10,114.031,class8
154.206,class10,102.762,class7,93.19,class6,105.33,class7,118.208,class8,105.703,class7,110.061,class7,111.539,class16,92.726,class6,136.58,class9,104.938,class7
93.584,class6,151.867,class10,129.449,class9,75.63,class5,124.193,class8,78.112,class5,129.012,class9,118.552,class16,93.503,class6,122.242,class8,147.245,class10
139.539,class9,120.919,class8,138.923,class9,130.771,class9,124.966,class8,105.732,class7,148.189,class10,126.367,class16,124.943,class8,105.623,class7,128.374,class9
196.605,class13,115.669,class8,141.003,class9,124.574,class8,147.964,class10,167.234,class11,134.753,class9,99.3,class16,105.266,class7,88.772,class6,128.262,class9
133.522,class9,139.72,class9,103.885,class7,81.396,class6,80.544,class6,108.381,class7,150.038,class10,127.67,class16,123.583,class8,96.556,class7,151.008,class10
75.454,class5,155.588,class10,128.606,class9,73.007,class5,92.004,class6,169.275,class11,80.617,class6,100.08,class16,124.936,class8,133.849,class9,135.087,class9
128.903,class9,98.805,class7,78.044,class5,104.522,class7,145.624,class10,144.821,class10,126.739,class8,135.653,class16,76.292,class5,120.736,class8,168.743,class11
124.011,class8,120.059,class8,97.964,class7,171.165,class11,120.317,class8,110.578,class7,101.684,class7,74.899,class16,90.767,class6,122.956,class8,112.458,class8
181.701,class12,140.279,class9,125.811,class8,114.243,class8,117.399,class8,125.036,class8,113.618,class8,106.938,class16,95.301,class6,156.372,class10,116.173,class8
130.811,class9,126.867,class8,100.836,class7,88.718,class6,140.208,class9,167.758,class11,129.878,class9,118.693,class16,142.344,class9,106.945,class7,131.715,class9
127.671,class8,67.409,class5,208.282,class14,142.686,class9,128.153,class9,156.891,class10,109.008,class7,104.212,class16,112.114,class8,131.097,class9,105.034,class7
82.879,class6,182.63,class12,91.787,class6,122.657,class8,149.91,class10,116.049,class8,137.533,class9,122.433,class16,64.223,class5,128.226,class9,105.955,class7
120.794,class8,130.318,class9,70.859,class5,141.317,class9,146.488,class10,90.869,class6,166.093,class11,122.818,class16,118.731,class8,81.797,class6,119.531,class8
86.327,class6,99.678,class7,126.844,class8,127.266,class8,164.444,class11,111.527,class7,132.68,class9,113.688,class16,132.542,class9,113.762,class8,133.763,class9
144.376,class10,85.527,class6,92.472,class6,93.964,class6,121.227,class8,167.792,class11,100.965,class7,109.071,class16,176.083,class12,121.915,class8,118.738,class8
146.913,class10,152.113,class10,102.662,class7,82.479,class6,148.072,class10,103.734,class7,105.854,class7,142.156,class16,95.542,class6,90.591,class6,109.122,class7
173.93,class11,135.993,class9,131.653,class9,100.456,class7,134.127,class9,186.366,class12,130.109,class9,168.169,class16,76.214,class5,105.191,class7,84.696,class6
116.557,class8,103.317,class7,82.492,class6,154.624,class10,60.3,class4,147.564,class10,91.137,class6,135.966,class16,176.631,class12,94.731,class6,149.994,class10
117.303,class8,79.255,class5,120.116,class8,82.993,class6,145.37,class10,104.812,class7,140.71,class9,118.679,class16,123.118,class8,115.64,class8,117.307,class8
118.867,class8,94.769,class6,152.217,class10,93.999,class6,129.985,class9,111.833,class7,139.787,class9,109.394,class16,78.789,class5,109.689,class7,127.182,class8
101.085,class7,79.764,class5,123.281,class8,132.082,class9,168.512,class11,128.067,class9,77.589,class5,176.701,class16,129.713,class9,127.942,class8,130.345,class9
108.748,class7,131.248,class9,134.919,class9,79.241,class5,133.577,class9,119.101,class8,79.195,class5,136.59,class16,102.457,class7,94.429,class6,116.543,class8
145.224,class10,93.017,class6,119.602,class8,114.378,class8,77.487,class5,83.391,class6,92.31,class6,78.827,class16,106.987,class7,117.945,class8,119.719,class8
141.694,class9,147.448,class10,91.509,class6,123.765,class8,179.239,class12,94.395,class6,137.941,class9,121.454,class16,107.877,class7,126.361,class8,125.391,class8
86.762,class6,121.059,class8,91.39,class6,144.477,class10,121.38,class8,123.213,class8,118.738,class8,175.068,class16,139.148,class9,138.18,class9,122.764,class8
124.348,class8,75.601,class5,132.889,class9,134.364,class9,72.623,class5,146.2,class10,120.154,class8,143.928,class16,115.443,class8,139.138,class9,211.261,class14
80.608,class6,105.318,class7,115.75,class8,124.204,class8,116.388,class8,126.045,class8,116.153,class8,141.345,class16,106.491,class7,107.643,class7,179.882,class12
87.926,class6,126.637,class8,106.957,class7,133.837,class9,135.754,class9,135.724,class9,101.869,class7,97.898,class16,173.381,class11,103.538,class7,124.335,class8
97.161,class7,128.399,class9,84.204,class6,176.964,class12,132.642,class9,132.607,class9,113.325,class8,95.922,class16,184.024,class12,139.997,class9,169.115,class11
97.968,class7,152.126,class10,88.762,class6,129.987,class9,112.295,class8,138.108,class9,133.738,class9,119.172,class16,117.293,class8,187.711,class12,76.79,class5
117.472,class8,154.7,class10,122.531,class8,173.737,class11,77.119,class5,107.234,class7,119.624,class8,135.601,class16,116.976,class8,90.6,class6,135.331,class9
124.181,class8,77.464,class5,170.64,class11,77.995,class5,143.549,class9,118.937,class8,145.405,class10,83.338,class16,126.576,class8,124.336,class8,95.485,class6
136.058,class9,93.212,class6,147.462,class10,164.933,class11,121.568,class8,131.339,class9,106.574,class7,186.047,class16,136.764,class9,126.143,class8,129.661,class9
185.503,class12,105.205,class7,169.613,class11,123.423,class8,146.655,class10,139.701,class9,115.193,class8,122.201,class16,88.827,class6,162.825,class11,109.511,class7
101.876,class7,76.963,class5,142.914,class9,99.16,class7,86.988,class6,90.105,class6,102.516,class7,116.499,class16,123.16,class8,207.639,class13,128.527,class9
164.315,class11,75.798,class5,114.719,class8,134.287,class9,136.302,class9,80.204,class6,117.136,class8,107.383,class16,152.87,class10,165.451,class11,169.486,class11
114.523,class8,83.886,class6,149.994,class10,143.278,class9,130.915,class9,175.898,class11,79.766,class5,147.221,class16,127.131,class8,109.447,class7,109.964,class7
120.653,class8,82.751,class6,143.631,class9,146.598,class10,145.164,class10,77.521,class5,128.068,class9,124.95,class16,97.953,class7,93.798,class6,131.675,class9
155.746,class10,128.69,class9,98.264,class7,144.046,class10,110.578,class7,172.02,class11,133.273,class9,123.009,class16,115.871,class8,155.547,class10,75.14,class5
92.225,class6,123.566,class8,168.683,class11,120.418,class8,163.503,class11,102.657,class7,111.173,class7,121.268,class16,133.898,class9,113.256,class8,128.037,class9
120.082,class8,141.378,class9,88.045,class6,87.246,class6,120.757,class8,126.343,class8,113.638,class8,105.866,class16,140.966,class9,150.326,class10,114.832,class8
84.319,class6,136.413,class9,82.366,class6,163.24,class11,86.47,class6,107.096,class7,103.818,class7,145.074,class16,117.252,class8,104.415,class7,135.003,class9
115.732,class8,170.55,class11,146.68,class10,128.525,class9,152.875,class10,132.865,class9,108.674,class7,70.856,class16,95.21,class6,95.306,class6,133.574,class9
90.12,class6,126.553,class8,93.236,class6,91.468,class6,127.689,class8,158.089,class10,128.556,class9,204.418,class16,134.88,class9,162.272,class11,85.094,class6
148.634,class10,198.731,class13,140.732,class9,88.718,class6,132.071,class9,99.296,class7,105.693,class7,142.702,class16,106.949,class7,114.82,class8,91.471,class6
109.84,class7,131.26,class9,137.148,class9,77.737,class5,96.783,class7,115.329,class8,92.448,class6,86.173,class16,120.316,class8,89.018,class6,91.259,class6
124.491,class8,81.962,class6,133.126,class9,200.62,class13,163.942,class11,120.627,class8,140.243,class9,115.354,class16,103.18,class7,94.161,class6,99.48,class7
97.235,class7,127.827,class8,81.528,class6,126.624,class8,207.265,class13,81.868,class6,37.114,class3,96.784,class16,145.042,class10,76.669,class5,113.153,class8
78.086,class5,85.622,class6,137.349,class9,161.124,class11,150.588,class10,103.922,class7,129.62,class9,140.511,class16,105.177,class7,99.828,class7,156.131,class10
82.736,class6,122.565,class8,85.492,class6,111.013,class7,68.102,class5,143.801,class9,105.908,class7,115.997,class16,117.541,class8,90.584,class6,121.244,class8
126.866,class8,119.994,class8,148.462,class10,107.384,class7,133.785,class9,118.782,class8,80.576,class6,102.648,class16,125.378,class8,114.453,class8,109.152,class7
120.722,class8,123.095,class8,135.229,class9,144.799,class10,138.255,class9,116.958,class8,93.809,class6,114.224,class16,101.603,class7,95.085,class6,103.994,class7
131.12,class9,138.652,class9,134.414,class9,171.762,class11,79.66,class5,90.794,class6,76.982,class5,102.3,class16,184.298,class12,123.596,class8,116.974,class8
81.257,class6,112.62,class8,130.578,class9,146.831,class10,165.393,class11,77.599,class5,115.125,class8,161.051,class16,102.935,class7,94.228,class6,118.741,class8
174.464,class11,132.526,class9,77.82,class5,116.61,class8,101.993,class7,105.873,class7,139.095,class9,111.826,class16,112.664,class8,163.017,class11,158.399,class10
109.251,class7,89.328,class6,177.477,class12,119.855,class8,125.474,class8,135.724,class9,167.117,class11,139.865,class16,118.533,class8,109.374,class7,121.768,class8
80.652,class6,116.119,class8,171.028,class11,144.188,class10,76.915,class5,82.067,class6,120.078,class8,72.269,class16,105.704,class7,114.657,class8,120.814,class8
78.476,class5,105.388,class7,64.933,class5,120.109,class8,119.504,class8,151.979,class10,102.718,class7,102.376,class16,90.973,class6,111.504,class7,112.299,class8
176.193,class12,118.505,class8,131.366,class9,86.573,class6,149.702,class10,133.493,class9,120.99,class8,105.922,class16,107.068,class7,121.187,class8,92.157,class6
108.854,class7,122.267,class8,137.463,class9,173.395,class11,121.227,class8,128.517,class9,128.91,class9,136.743,class16,132.844,class9,138.999,class9,165.922,class11
74.994,class5,136.828,class9,81.398,class6,117.141,class8,104.37,class7,89.846,class6,119.533,class8,110.517,class16,139.348,class9,115.522,class8,131.684,class9
135.142,class9,109.333,class7,145.77,class10,184.301,class12,124.558,class8,165.399,class11,126.495,class8,150.799,class16,191.539,class12,149.861,class10,152.115,class10
123.444,class8,145.109,class10,102.323,class7,106.72,class7,98.263,class7,133.194,class9,134.755,class9,77.697,class16,134.222,class9,82.725,class6,104.851,class7
88.916,class6,132.282,class9,94.864,class6,146.426,class10,117.418,class8,85.031,class6,82,class6,131.884,class16,76.214,class5,76.923,class5,125.238,class8
94.582,class6,91.242,class6,93.238,class6,111.124,class7,137.732,class9,187.101,class12,102.879,class7,109.609,class16,109.239,class7,121.878,class8,180.837,class12
158.174,class10,118.566,class8,85.617,class6,143.955,class9,127.761,class8,109.277,class7,137.687,class9,116.461,class16,145.187,class10,128.001,class9,84.088,class6
161.982,class11,90.116,class6,83.18,class6,177.713,class12,127.495,class8,129.836,class9,104.996,class7,108.287,class16,79.873,class5,147.565,class10,137.792,class9
104.349,class7,105.822,class7,61.34,class4,121.861,class8,106.855,class7,143.072,class9,95.1,class6,75.542,class16,80.86,class6,124.572,class8,120.4,class8
99.855,class7,116.817,class8,108.892,class7,136.748,class9,104.593,class7,170.888,class11,116.074,class8,152.604,class16,120.795,class8,131.329,class9,131.282,class9
96.346,class7,140.588,class9,77.376,class5,142.655,class9,128.15,class9,98.53,class7,139.156,class9,142.46,class16,97.017,class7,176.109,class12,124.88,class8
92.527,class6,117.755,class8,203.206,class13,100.625,class7,140.29,class9,117.828,class8,78.073,class5,128.241,class16,78.911,class5,132.574,class9,146.03,class10
76.835,class5,114.151,class8,143.719,class9,97.918,class7,124.71,class8,99.293,class7,135.86,class9,98.646,class16,132.752,class9,77.335,class5,145.992,class10
90.768,class6,122.676,class8,110.182,class7,90.081,class6,125.016,class8,131.398,class9,125.497,class8,119.453,class16,84.928,class6,161.031,class11,127.01,class8
137.317,class9,118.488,class8,130.34,class9,99.3,class7,128.918,class9,109.281,class7,113.827,class8,86.554,class16,176.647,class12,106.171,class7,127.57,class8
80.523,class6,90.339,class6,95.358,class6,124.392,class8,76.015,class5,81.85,class6,142.248,class9,118.823,class16,121.836,class8,90.503,class6,81.814,class6
120.834,class8,136.73,class9,130.658,class9,133.363,class9,81.28,class6,133.229,class9,80.557,class6,124.045,class16,135.384,class9,142.765,class9,86.004,class6
